"BusinessName","StreetAddress","Locality","Region","Country","Website","Phone","Email","FreePhone","FaxNumber","Mobile","AdditionalPhone","URL"
"Crest Commercial Cleaning North Harbour", "North Harbour Auckland", "Albany, North Shore", "Auckland Region", "New Zealand", "http://www.crestclean.co.nz/contact-us/north-harbour-cleaning/", "09 415 8854", "service@crestclean.co.nz", "", "", "", "", "http://yellow.co.nz/y/crest-commercial-cleaning-north-harbour"
"Busy Bees Carpet & Upholstery Cleaning", "Servicing: Henderson, Manurewa, Manukau, Howick, Auckland Central, Mt Roskill, St Heliers, Albany, Auckland Call Free", "", "Auckland Region", "New Zealand", "http://www.busybees.co.nz", "0800 287 923", "info@busybees.co.nz", "", "", "", "", "http://yellow.co.nz/y/busy-bees-carpet-upholstery"
"Crest Commercial Cleaning East Auckland", "Serciving: Howick, Pakuranga, Flat Bush, Botany, Farm Cove, Half Moon Bay, Whitford Auckland", "Whitford, Manukau City", "Auckland Region", "New Zealand", "http://www.crestclean.co.nz/contact-us/auckland-east-cleaning/", "09 573 5565", "service@crestclean.co.nz", "", "+64 3 477 1194", "", "", "http://yellow.co.nz/y/crest-commercial-cleaning-east-auckland"
"Crest Commercial Cleaning North Shore", "Servicing: Albany, Takapuna, Glenfield, Milford, Devonport, Northcote, Browns Bay, Birkenhead, Mairangi Bay Auckland", "Mairangi Bay, North Shore", "Auckland Region", "New Zealand", "http://www.crestclean.co.nz/contact-us/auckland-north-shore-cleaning/", "09 415 8854", "service@crestclean.co.nz", "", "0800 273 781", "", "", "http://yellow.co.nz/y/crest-commercial-cleaning-mairangi"
"Crest Commercial Cleaners Central Auckland", "Servicing: Newmarket, Remuera, Penrose, Ellerslie, Greenlane, Panmure, Glen Innes, Meadowbank, Mission Bay Auckland", "Mission Bay, Auckland City", "Auckland Region", "New Zealand", "http://www.crestclean.co.nz/contact-us/auckland-commercial-cleaning/", "09 368 9388", "service@crestclean.co.nz", "", "0800 273 781", "", "", "http://yellow.co.nz/y/crest-commercial-cleaners-central"
"Crest Commercial Cleaners South Auckland", "Servicing: Manukau, Papakura, Manurewa, Otahuhu, Mangere, East Tamaki, Takanini, Papatoetoe Auckland", "Papatoetoe, Manukau City", "Auckland Region", "New Zealand", "http://www.crestclean.co.nz/contact-us/auckland-south-commercial-cleaning/", "09 262 0096", "service@crestclean.co.nz", "", "0800 273 781", "", "", "http://yellow.co.nz/y/crest-commercial-cleaners-south"
"Commercial Cleaning 1994 Ltd", "Servicing: West Auckland, Avondale, New Lynn, Henderson, Highbrook, South Auckland, Auckland City Auckland", "Auckland City", "Auckland Region", "New Zealand", "http://www.thecleaner.co.nz", "09 827 4775", "kleaner@xtra.co.nz", "", "", "", "", "http://yellow.co.nz/y/commercial-cleaning-1994-auckland"
"Clean Bright Ltd", "5/53 Green La East Remuera Auckland 1050", "Remuera, Auckland City", "Auckland Region", "New Zealand", "", "09 523 3531", "cleanbright@orcon.net.nz", "", "", "", "", "http://yellow.co.nz/y/clean-bright-remuera"
"Andy Andersons Industrial Services 2007 Ltd", "Servicing: Manukau, Albany, Takapuna, Henderson, Ponsonby, Papakura, Howick, Warkworth, Auckland Call Free", "", "Auckland Region", "New Zealand", "http://www.gripguard.com.au", "0800 723 335", "safefloors@andyandersons.co.nz", "", "095224215", "", "", "http://yellow.co.nz/y/andy-andersons-industrial-services-2007"
"Commercial Cleaning Auckland Ltd", "Servicing; Penrose, Newmarket, Onehunga, Otahuhu, Ponsonby, Airport Oaks, Auckland City, Mt Wellington Auckland Cellular phone", "Mount Wellington, Auckland City", "Auckland Region", "New Zealand", "http://www.commercial-cleaning.co.nz", "022 635 6688", "helpdesk.clean@gmail.com", "", "09 8381155", "", "", "http://yellow.co.nz/y/commercial-cleaning-auckland-remuera"
"Andy Andersons Industrial Services 2007 Ltd", "Servicing: Warkworth, Henderson, Takapuna, Ponsonby, Papakura, Manukau, Albany, Howick, Auckland", "", "Auckland Region", "New Zealand", "http://www.andyandersons.co.nz", "09 579 2639", "safewrok@andyandersons.co.nz", "", "09 5224215", "", "", "http://yellow.co.nz/y/andy-andersons-industrial-auckland"
"Crest Commercial Cleaners West Auckland", "Servicing: New Lynn, Mt Eden, Grey Lynn, Avondale, Mt Albert, St Lukes, Pt Chevalier, Mt Roskill, Blockhouse Bay Auckland", "Blockhouse Bay, Auckland City", "Auckland Region", "New Zealand", "http://www.crestclean.co.nz/contact-us/auckland-west-cleaning/", "09 836 9945", "service@crestclean.co.nz", "", "0800 273 781", "", "", "http://yellow.co.nz/y/crest-commercial-cleaners-west"
"Metro Cleaning", "Servicing: Auckland CBD, Orewa, Albany, Henderson, Mt Roskill, St Heliers, Howick, Manukau, Manurewa, Remuera Auckland Call Free", "Remuera, Auckland City", "Auckland Region", "New Zealand", "http://www.metrocleaning.co.nz", "0800 638 761", "metrocleaning@rocketmail.com", "", "", "", "", "http://yellow.co.nz/y/metro-cleaning"
"ISS Facility Services", "2 Arthur Brown Pl Mt Wellington Auckland 1060", "Mount Wellington, Auckland City", "Auckland Region", "New Zealand", "http://www.nz.issworld.com", "09 573 4500", "enquiries@nz.issworld.com", "", "09 573 5645", "", "", "http://yellow.co.nz/y/iss-facility-services-mount"
"AA Cleaning", "Servicing: Auckland CBD, Orewa, Albany, Henderson, Mt Roskill, St Heliers, Howick, Manukau, Manurewa, Remuera Auckland", "Remuera, Auckland City", "Auckland Region", "New Zealand", "http://www.aaclean.co.nz", "09 265 2687", "aaclean@xtra.co.nz", "", "", "", "", "http://yellow.co.nz/y/aa-cleaning-remuera"
"ToTal Property Services (Auckland) Ltd", "22 Gundry St Newton Auckland", "Auckland Central, Auckland City", "Auckland Region", "New Zealand", "http://www.totalpropertyservices.co.nz", "09 302 2380", "Auckland@totalpropertyservices.co.nz", "", "093022384", "", "", "http://yellow.co.nz/y/total-property-services-auckland"
"A1 Commercial Cleaning Services", "Servicing Auckland - North Shore, Albany, Manukau Waitakere, Papakura, Franklin, Auckland 1004", "", "Auckland Region", "New Zealand", "http://www.a1cleaningservices.co.nz", "09 624 1412", "ashok.unka@clear.net.nz", "", "096241496", "", "", "http://yellow.co.nz/y/a1-commercial-cleaning"
"Cleancorp", "158 Beach Rd Parnell Auckland Call Free", "Parnell, Auckland City", "Auckland Region", "New Zealand", "http://www.cleancorp.co.nz", "0800 422 677", "admin@cleancorp.co.nz", "", "", "", "", "http://yellow.co.nz/y/cleancorp-parnell"
"Dirty Deeds Cleaning Ltd", "Servicing: Auckland CBD, Orewa, Albany, Henderson, Mt Roskill, St Heliers, Howick, Manukau, Manurewa, Remuera Auckland", "Remuera, Auckland City", "Auckland Region", "New Zealand", "", "09 428 2163", "dirtydeedsltd@gmail.com", "", "", "", "", "http://yellow.co.nz/y/dirty-deeds-cleaning-remuera"
"HBC & North Shore Cleaning Services Ltd", "30 Hammond Ave Hatfields Beach Hibiscus Coast", "Hatfields Beach, Hibiscus Coast", "Auckland Region", "New Zealand", "", "09 426 6225", "simon@hbcclean.co.nz", "", "", "", "", "http://yellow.co.nz/y/hbc-north-shore"
"Snow Flake Hygiene", "Henderson Auckland Cellular phone", "Henderson, West Auckland", "Auckland Region", "New Zealand", "http://www.snowflakehygiene.co.nz", "027 404 8797", "darlene@snowflakehygiene.co.nz", "", "", "", "", "http://yellow.co.nz/y/snow-flake-hygiene"
"At Your Request Commercial Cleaning", "Auckland Call Free", "", "Auckland Region", "New Zealand", "http://www.atyourrequest.co.nz", "0800 297 266", "info@atyourrequest.co.nz", "", "", "", "", "http://yellow.co.nz/y/at-your-request-commercial"
"KP Group Ltd", "18 Ryan Pl Manukau Auckland 2104", "Manukau, Manukau City", "Auckland Region", "New Zealand", "http://www.sweeping.co.nz", "09 263 5433", "info@sweeping.co.nz", "", "092635488", "", "", "http://yellow.co.nz/y/kp-group-manukau"
"Jet Cleaning Services (1995) Limited", "", "Eden Terrace, Auckland City", "Auckland Region", "New Zealand", "http://www.jetcleaning.co.nz", "09 302 1536", "enquiries@jetcleaning.co.nz", "", "09 302 1539", "", "", "http://yellow.co.nz/y/jet-cleaning-services"
"Prestige Home Groomers", "2246", "Takanini, Papakura Area", "Auckland Region", "New Zealand", "http://www.prestigehomegroomers.co.nz", "09 299 1312", "josephine@homegroomers.co.nz", "", "09 299 2313", "", "", "http://yellow.co.nz/y/prestige-home-takanini"
"Crewcut Commercial Cleaning", "Auckland Call Free", "", "Auckland Region", "New Zealand", "http://www.crewcut.co.nz/Cleaning", "0800 800 209", "info@crewcut.co.nz", "", "095238029", "", "", "http://yellow.co.nz/y/crewcut-commercial-cleaning"
"Cleantastic Commercial Cleaners - Auckland", "15A Jack Conway Ave Manukau City Auckland 2104", "Manukau, Manukau City", "Auckland Region", "New Zealand", "http://www.cleantastic.co.nz", "09 263 8714", "gregpaget@cleantastic.com", "", "", "", "", "http://yellow.co.nz/y/cleantastic-commercial-cleaners-auckland"
"The EcoPro Cleaning Co.", "16/18 Airborne Rd Albany North Shore City 0632", "Albany, North Shore", "Auckland Region", "New Zealand", "http://www.ecopro.co.nz", "09 415 9984", "info@ecopro.co.nz", "", "09 415 9920", "", "", "http://yellow.co.nz/y/ecopro-cleaning-co-albany"
"Mr Mops Commercial Cleaning", "Cellular phone", "Onehunga, Auckland City", "Auckland Region", "New Zealand", "", "021 610 264", "mr-mops@ihug.co.nz", "", "094169030", "", "", "http://yellow.co.nz/y/mr-mops-commercial"
"We Care Cleaning Ltd", "Auckland", "", "Auckland Region", "New Zealand", "http://www.wecarecleaning.co.nz", "09 929 3681", "info@wecarecleaning.co.nz", "", "09 6251698", "", "", "http://yellow.co.nz/y/we-care-cleaning"
"Unique Services Group", "6A Kellow St Manukau Auckland 2104", "Wiri, Manukau City", "Auckland Region", "New Zealand", "http://www.uniqueservices.co.nz", "09 262 1696", "sales@uniqueservices.co.nz", "", "09 262 1697", "", "", "http://yellow.co.nz/y/unique-services-group"
"Alamo Cleaning Services", "PO Box 121149 Henderson Auckland", "", "Auckland Region", "New Zealand", "", "09 416 9054", "alamocleaning@xtra.co.nz", "", "094167458", "", "", "http://yellow.co.nz/y/alamo-cleaning-services-auckland"
"Acclaim Cleaning Service", "Unit 84 49 Aberfeldy Ave Highland Park Auckland 2010", "Highland Park, Manukau City", "Auckland Region", "New Zealand", "", "09 576 4594", "oldermj@clear.net.nz", "", "", "", "", "http://yellow.co.nz/y/acclaim-cleaning-service"
"Waste Scape Plus Limited", "19 Kendrick Pl Blockhouse Bay Auckland", "Blockhouse Bay, Auckland City", "Auckland Region", "New Zealand", "http://www.wastescapeplus.co.nz", "09 828 5787", "nipa@wastescapeplus.co.nz", "", "09 828 5785", "", "", "http://yellow.co.nz/y/waste-scape-plus"
"Clean As a Whistle Ltd", "8 Bragato Pl Chatswood Auckland 0626", "Chatswood, North Shore", "Auckland Region", "New Zealand", "", "09 418 3513", "", "", "", "", "", "http://yellow.co.nz/y/clean-as-a-whistle"
"Xclusive Commercial Cleaning Services", "Call Free", "Henderson, West Auckland", "Auckland Region", "New Zealand", "http://www.xclusivecleaning.co.nz", "0800 4 xclusive", "jay@xclusivecleaning.co.nz", "", "09 8334251", "", "", "http://yellow.co.nz/y/xclusive-commercial-cleaning"
"ISS Facility Services", "2 Arthur Brown Pl Mt Wellington Auckland", "Mount Wellington, Auckland City", "Auckland Region", "New Zealand", "http://www.nz.issworld.com", "09 573 4500", "enquiries@nz.issworld.com", "", "078460031", "", "", "http://yellow.co.nz/y/iss-facility-services-cnr"
"JC Cleaning Services Ltd", "PO Box 109461 Newmarket", "Newmarket, Auckland City", "Auckland Region", "New Zealand", "http://www.jc-cleaning.co.nz", "09 828 0832", "cleaning@jc-cleaning.co.nz", "", "09 2501476", "", "", "http://yellow.co.nz/y/jc-cleaning-services"
"Busy Bees Commercial & Office Cleaning", "Servicing: Takapuna, Albany, Greenlane, Waitakere, Henderson, Manukau, Highbrook, East Tamaki, Onehunga Auckland Call Free", "Onehunga, Auckland City", "Auckland Region", "New Zealand", "http://www.busybees.co.nz/office-commercial-cleaning-auckland-christchurch/", "0800 287 923", "admin@busybees.co.nz", "", "", "", "", "http://yellow.co.nz/y/busy-bees-commercial"
"Alchemya Ltd", "PO Box 38 637 Howick", "East Tamaki, Manukau City", "Auckland Region", "New Zealand", "http://www.alchemya.co.nz", "09 271 4131", "todd@alchemya.co.nz", "", "09 2714134", "", "", "http://yellow.co.nz/y/alchemya-ti-rauka-3"
"Auckland Commercial Cleaning Services", "15 Navigator Pl Papatoetoe Auckland 2025", "Papatoetoe, Manukau City", "Auckland Region", "New Zealand", "http://www.aucklandcleaning.co.nz", "09 835 4144", "gary@aucklandcleaning.co.nz", "", "09 835 4145", "", "", "http://yellow.co.nz/y/auckland-commercial-cleaning"
"Royale Cleaning Ltd", "6 Whitworth Rd Mt Eden Auckland 1024", "Mount Eden, Auckland City", "Auckland Region", "New Zealand", "", "09 629 1530", "lepper@xtra.co.nz", "", "", "", "", "http://yellow.co.nz/y/royale-cleaning"
"Civic Contractors Ltd", "10 Southgate Pl Henderson Auckland 0612", "Henderson, West Auckland", "Auckland Region", "New Zealand", "", "09 836 6908", "sandraw@civcon.co.nz", "", "", "", "", "http://yellow.co.nz/y/civic-contractors"
"Gentle Housewash Company", "23A Waterlea Ave Mangere Bridge Auckland", "Mangere Bridge, Manukau City", "Auckland Region", "New Zealand", "http://www.gentle-housewash.co.nz", "09 622 2892", "don.d@paradise.net.nz", "", "", "", "", "http://yellow.co.nz/y/gentle-housewash-company-mangere"
"A1 Commercial Cleaning Services", "", "", "Auckland Region", "New Zealand", "http://www.a1cleaningservices.co.nz/", "09 624 1412", "ashok.unka@clear.net.nz", "", "096241496", "", "", "http://yellow.co.nz/y/a1-commercial-cleaning-auckland"
"Clean Every Inch", "", "Hillcrest, North Shore, North Shore", "Auckland Region", "New Zealand", "", "09 410 2230", "", "", "", "", "", "http://yellow.co.nz/y/clean-every-inch"
"Cleaning Developments Ltd", "76A Goodall St Hillsborough Auckland 1042", "Hillsborough, Auckland City, Auckland City", "Auckland Region", "New Zealand", "http://www.cleaningdevelopments.co.nz", "09 624 2060", "gordon@cleaningdevelopments.co.nz", "", "09 624 2060", "", "", "http://yellow.co.nz/y/cleaning-developments"
"Commercial Cleaning 1994 Ltd", "Green Bay", "Blockhouse Bay, Auckland City", "Auckland Region", "New Zealand", "http://www.thecleaner.co.nz", "09 827 4775", "a.ching@xtra.co.nz", "", "", "", "", "http://yellow.co.nz/y/commercial-cleaning-1994"
"Rams Cleaning Services", "Manukau Auckland", "Clover Park, Manukau City", "Auckland Region", "New Zealand", "http://www.ramscleaning.co.nz", "09 263 0646", "neelesh@ramscleaning.co.nz", "", "+649 263 0647", "", "", "http://yellow.co.nz/y/rams-cleaning-services-clover"
"Andy Andersons Industrial Services 2007 Ltd", "", "Ellerslie, Auckland City", "Auckland Region", "New Zealand", "http://www.andyandersons.co.nz", "09 579 2639", "safework@andyandersons.co.nz", "", "09 522 4215", "", "", "http://yellow.co.nz/y/andy-andersons-industrial-ellerslie"
"SuperCity Property Services", "Auckland Call Free", "", "Auckland Region", "New Zealand", "http://www.supercityproperty.co.nz", "0800 399 999", "info@supercityproperty.co.nz", "", "094442553", "", "", "http://yellow.co.nz/y/supercity-property-services"
"EXT Wash", "Call Free", "", "Auckland Region", "New Zealand", "", "0508 398 9274", "chlorinehousewas@hotmail.com", "", "", "", "", "http://yellow.co.nz/y/ext-wash-auckland-2"
"ISS Facility Services", "Auckland Call Free", "", "Auckland Region", "New Zealand", "http://www.nz.issworld.com", "0800 93 2532", "enquiries@nz.issworld.com", "", "078460031", "", "", "http://yellow.co.nz/y/iss-facility-services-auckland"
"OCS", "Auckland Call Free", "", "Auckland Region", "New Zealand", "http://www.ocs.co.nz", "0800 33 23 33", "", "", "", "", "", "http://yellow.co.nz/y/ocs-auckland"
"United Cleaning Services Ltd", "PO Box 738 Shortland Street", "Grey Lynn, Auckland City", "Auckland Region", "New Zealand", "http://www.unitedservices.co.nz", "09 379 9693", "info@unitedservices.co.nz", "", "09 307 8809", "", "", "http://yellow.co.nz/y/united-cleaning-services"
"Double Trouble Cleaning Services Ltd", "Rodney District Auckland", "Warkworth, Warkworth Area", "Auckland Region", "New Zealand", "http://www.dtcsl.co.nz", "09 425 7322", "", "", "", "", "", "http://yellow.co.nz/y/double-trouble-cleaning"
"Cherry Cleaning Co", "Call Free", "Henderson, Henderson", "Auckland Region", "New Zealand", "http://cherrycleaning.co.nz", "0800 282 626", "info@cherrycleaning.co.nz", "", "", "", "", "http://yellow.co.nz/y/cherry-cleaning-co"
"Maria Cleaning Services", "80D Don Buck Rd Massey Auckland 0614", "Massey, West Auckland", "Auckland Region", "New Zealand", "http://www.mariacleaning.co.nz", "09 550 4799", "info@mariacleaning.co.nz", "", "", "", "", "http://yellow.co.nz/y/maria-cleaning-services"
"ICC Cleaning", "Finance Plaza,Level-5, 22 Durham St West Auckland Central Auckland 1010", "Auckland Central, Auckland City", "Auckland Region", "New Zealand", "http://www.icc-cleaning.co.nz", "09 366 6622", "info@icc-cleaning.co.nz", "", "", "", "", "http://yellow.co.nz/y/icc-cleaning"
"Performance All Property Services Akld Ltd", "Auckland", "", "Auckland Region", "New Zealand", "http://www.performanceall.com", "09 358 2804", "cleaners@xtra.co.nz", "", "0800 200 022", "", "", "http://yellow.co.nz/y/performance-all-auckland"
"Jani-King (NZ) Limited", "PO Box 300722 Albany", "Wairau Valley, North Shore, North Shore", "Auckland Region", "New Zealand", "http://www.janiking.co.nz", "09 441 9996", "info@janiking.co.nz", "", "094419960", "", "", "http://yellow.co.nz/y/jani-king-nz-wairau"
"Dependable Cleaning Services", "9 Medway Rd Paremoremo Auckland", "Paremoremo, North Shore", "Auckland Region", "New Zealand", "", "09 413 8275", "dependable@watchdog.net.nz", "", "", "", "", "http://yellow.co.nz/y/dependable-cleaning-services"
"System Property Maintenance", "PO Box 22-457 Otahuhu", "Otahuhu, Auckland City", "Auckland Region", "New Zealand", "", "09 274 1717", "alvinauckland@gmail.com", "", "092741719", "", "", "http://yellow.co.nz/y/system-property-maintenance"
"Perform Cleaning", "PO Box 911551 Victoria Street West", "Auckland Central, Auckland City", "Auckland Region", "New Zealand", "http://www.performcleaning.co.nz", "09 354 3315", "admin@performcleaning.co.nz", "", "092697912", "", "", "http://yellow.co.nz/y/perform-cleaning"
"Wayne Commercial Cleaning Ltd", "6/44 Selwyn Rd Cockle Bay Auckland", "Cockle Bay, Manukau City", "Auckland Region", "New Zealand", "", "09 537 1551", "beemurr@xtra.co.nz", "", "", "", "", "http://yellow.co.nz/y/wayne-commercial-cleaning-cockle"
"JJ&#39;s Commercial & Domestic Cleaning", "3/157 Great South Rd Drury Auckland 2113", "Drury, Papakura Area", "Auckland Region", "New Zealand", "", "09 294 6167", "jjscleaning@xtra.co.nz", "", "", "", "", "http://yellow.co.nz/y/jjs-commercial-domestic-cleaning"
"Crest Commercial Cleaning Ltd", "", "", "Auckland Region", "New Zealand", "http://www.crestclean.co.nz", "09 262 0096", "service@crestclean.co.nz", "", "", "", "", "http://yellow.co.nz/y/crest-commercial-cleaning-auckland"
"Crystal Cleaning Services", "65 Young Access Rd Silverdale Auckland", "Wainui, Hibiscus Coast, Hibiscus Coast", "Auckland Region", "New Zealand", "", "09 427 5764", "shaunlovell@xtra.co.nz", "", "", "", "", "http://yellow.co.nz/y/crystal-cleaning-services"
"P & C Commercial Services", "Auckland", "Herald Island, West Auckland", "Auckland Region", "New Zealand", "", "09 416 9674", "topshopcleaner@xtra.co.nz", "", "", "", "", "http://yellow.co.nz/y/pc-commercial-services"
"Kleenrite (Auckland) Limited", "PO Box 112379 Penrose", "", "Auckland Region", "New Zealand", "http://www.kleenrite.co.nz", "09 579 4161", "csc@kleenrite.co.nz", "", "0800553367", "", "", "http://yellow.co.nz/y/kleenrite-auckland-raroa"
"Allclean Cleaning Co Ltd", "Penrose Auckland", "Penrose, Auckland City", "Auckland Region", "New Zealand", "", "09 579 5262", "", "", "", "", "", "http://yellow.co.nz/y/allclean-cleaning-co"
"Top Trust Cleaning Service Ltd", "33 Agincourt St Glenfield Auckland 0629 Cellular phone", "Glenfield, North Shore", "Auckland Region", "New Zealand", "", "027 475 7374", "", "", "", "", "", "http://yellow.co.nz/y/top-trust-cleaning"
